strategy,tps_mean,tps_margin,p99_pooled,avg_mem,n_runs
ThreadPool-16,19498,539,2.0,5.7,10
ThreadPool-32,19792,636,4.1,0.4,10
ThreadPool-64,19417,238,6.4,0.4,10
ThreadPool-128,19683,503,10.3,0.5,10
ThreadPool-256,18279,472,14.3,0.7,10
ProcessPool-2,6407,232,0.3,0.0,10
ProcessPool-4,6258,158,0.3,0.0,10
ProcessPool-8,6512,137,0.3,0.0,10
Asyncio-32,42946,735,0.9,0.1,10
Asyncio-64,40614,1034,1.8,0.0,10
Asyncio-128,42370,1240,17.3,0.0,10
Asyncio-256,43302,1272,19.1,0.0,10
QueueScaler-4-64,18412,406,6.3,0.0,10
QueueScaler-4-128,18408,429,12.4,0.0,10
QueueScaler-4-256,17119,345,12.0,0.0,10
