threshold,threads,tps,beta,would_veto
0.2,8,12544.498472599078,0.996,False
0.2,16,16916.672528400693,0.997,False
0.2,32,16199.65753874416,0.9974,False
0.2,64,15554.770214960954,0.998,False
0.2,128,18042.953053009358,0.9974,False
0.2,256,17630.415709208333,0.9972,False
0.3,8,12475.485670256056,0.9962,False
0.3,16,17635.17271525413,0.9972,False
0.3,32,17437.199057115846,0.9976,False
0.3,64,17943.412218343372,0.9968,False
0.3,128,17711.089623356893,0.9968,False
0.3,256,18307.54776513306,0.9968,False
0.4,8,12458.885677125667,0.996,False
0.4,16,16623.31306570609,0.9972,False
0.4,32,17906.64193077264,0.997,False
0.4,64,17939.69106440541,0.997,False
0.4,128,17325.935850028316,0.997,False
0.4,256,17857.58929849282,0.9974,False
0.5,8,12416.958485265193,0.9958394513089216,False
0.5,16,17372.083269902247,0.997,False
0.5,32,17517.4359770526,0.9958,False
0.5,64,17595.999373272844,0.997,False
0.5,128,17979.325215992845,0.9966,False
0.5,256,17609.844044198842,0.9974,False
0.6,8,12595.470518064421,0.9968,False
0.6,16,17332.939065896247,0.9976,False
0.6,32,17771.939103062992,0.9956734193044026,False
0.6,64,16846.974216783063,0.9964,False
0.6,128,18116.946337147616,0.9972,False
0.6,256,17639.702030184373,0.9972,False
