strategy,threads,run,elapsed,tps,avg_lat,p50_lat,p95_lat,p99_lat,avg_beta,final_threads
NAIVE-64,64,0,1.1183362950000002,17883.708227496987,3.087772557249999,3.0752630000003833,6.3832569999999755,9.428887999999969,0.9601591436870335,64
NAIVE-64,64,1,1.075821576,18590.443291128046,3.056961399400002,3.04051700000052,6.268498000000733,9.096607000000034,0.9616585079052017,64
NAIVE-64,64,2,1.088447939,18374.787882252585,3.095777737699999,3.0841999999999814,6.335088000000155,9.264228999999347,0.9613248015919528,64
NAIVE-128,128,0,1.0738528809999996,18624.525159699235,5.179541053200005,5.151730999999771,10.372988000000305,20.373572999999645,0.9645563467098058,128
NAIVE-128,128,1,1.072532379,18647.45567741969,5.197618018250005,5.149787999998878,10.362084999999688,20.355396999999442,0.9645744754682462,128
NAIVE-128,128,2,1.0525587820000002,19001.314075777667,5.177194076950002,5.152131000000892,10.321579999999386,20.344657000000765,0.96592679622985,128
NAIVE-256,256,0,1.0938203089999998,18284.538909580624,5.7813748938499945,5.161701000000463,15.365795000001015,30.56166500000046,0.9607488975561442,256
NAIVE-256,256,1,1.0923573319999988,18309.02710506091,5.857598843500001,5.172665999999992,15.379152000001284,30.52555200000029,0.9618794701223594,256
NAIVE-256,256,2,1.0968403479999989,18234.19428038767,5.857340912399999,5.173650999999779,15.374822000000066,30.53801899999975,0.9623225389133104,256
NAIVE-512,512,0,1.1524494040000004,17354.341050099578,5.311440686350001,5.134509999999537,15.30241300000057,25.480375000000777,0.9594750699310803,512
NAIVE-512,512,1,1.1584401850000017,17264.594459833912,5.730364174549995,5.1729879999999895,15.396060000000489,30.496110999999715,0.9579454140480348,512
NAIVE-512,512,2,1.1487768970000012,17409.820873164703,5.3315603201999995,5.113575999999398,15.315861000001263,25.549132999998392,0.9597901406725763,512
NAIVE-1024,1024,0,1.2678026869999997,15775.325454882874,4.769765541800008,5.067903000000484,15.105009999999197,25.40812899999878,0.954460378157692,1024
NAIVE-1024,1024,1,1.271613470000002,15728.049813753521,4.869674597700009,4.913063000000051,15.260362999999444,25.425674999997483,0.9541588332368232,1024
NAIVE-1024,1024,2,1.2673278040000007,15781.236659430215,4.93733664825,4.891687999997174,15.278782999999407,27.252613000001702,0.954960702341573,1024
NAIVE-2048,2048,0,1.526787516999999,13099.399737887701,3.8258417260999815,3.6183019999995736,10.30402900000027,20.438421999998013,0.9443736562485907,2048
NAIVE-2048,2048,1,1.5034005390000011,13303.174690427582,3.756596810000002,3.392712000000131,10.299597000003047,20.401013000000745,0.9420975853822747,2048
NAIVE-2048,2048,2,1.5531180519999985,12877.321188975542,3.9106330905499913,3.5639260000017714,10.339340999998115,21.193473000000296,0.9422046593874552,2048
INFORMED-16,16,0,1.0976194970000002,18221.25067444934,0.8376876684999945,0.7639660000009485,1.4504219999977863,2.1917099999981815,0.9349534975464194,16
INFORMED-16,16,1,1.1059056839999997,18084.72484530607,0.8467698208999981,0.7671729999998433,1.4804999999995516,2.228435999999334,0.9350558872796785,16
INFORMED-16,16,2,1.0913956869999986,18325.159461620657,0.8328156395500008,0.7631900000006908,1.4726250000016705,2.217018000003179,0.9343503301343352,16
INFORMED-32,32,0,1.066952037,18744.9850662781,1.5743904444500152,1.4938969999995777,3.0062270000001945,4.447124000002134,0.9550371949490479,32
INFORMED-32,32,1,1.0951450369999982,18262.421254071785,1.6376118306499874,1.5495190000009984,3.0935330000012584,4.907184000000342,0.9544076721864826,32
INFORMED-32,32,2,1.0861419810000008,18413.798886206558,1.6149187345000013,1.529268999998834,3.1403670000003103,5.172023000000081,0.9531846810673817,32
INFORMED-48,48,0,1.1467270340000013,17440.942270486295,2.4674118276000314,2.4284530000002746,4.981735000001208,7.140232999994112,0.9612971381487212,48
INFORMED-48,48,1,1.1886869360000034,16825.28796631777,2.57515991950001,2.49865600000021,5.140969000002826,7.414541999999358,0.9622117954373773,48
INFORMED-48,48,2,1.1982119649999987,16691.537544444418,2.565154634800005,2.452147999996157,5.094726999999466,7.325115000000437,0.9637761637850333,48
ADAPTIVE-VETO,8-128,0,1.293562283,15461.180542166441,0.9900859031499728,0.921936000004564,2.063216999999895,3.3255969999999024,0.9366320239950162,36
ADAPTIVE-VETO,8-128,1,1.239802202,16131.605483307572,1.012013958600031,0.9798279999984061,2.073642999995684,3.1833649999981617,0.9381685978013192,40
ADAPTIVE-VETO,8-128,2,1.1837977330000058,16894.778087904906,0.9838792640500074,0.9437049999974079,2.0268899999962287,3.2622789999976476,0.9347789022616851,40
